registered_name,gender,elapsed,zwid,name,team,subteam
Evan Flater,1,20.827,1063791,E Flater (OTR),On the Rivet,
Daniel unt,1,20.871,182368,Daniel Hunt (LEQP Hunters),LEQP,
Jeroen Speelmans,1,20.901,1401963,Jeroen Speelmans (LEQP Hunters),LEQP,
Neil Hodgson,1,21.167,7520,Neil Hodgson (OTR) ,On the Rivet,
john hughes,1,21.617,1354923,John Hughes,Team Electricspirit.co,
Nikolaj Therkelsen,1,21.713,150173,Nikolaj Therkelsen,Team Vegan Bobcats,
Karel Smeets,1,21.816,1402075,Karel Smeets (Vegan Badgers),Team Vegan Badgers,
Oliver Paul,1,21.84,472728,Oliver Paul (CRYO-GEN),CRYO-GEN,
Scott McGowan,1,22.194,185873,Scott McGowan,Green Machine,
Daniel Bolton,1,22.326,558697,Daniel Bolton (LEQP Mistral),LEQP,
